City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,skibbereen,51.55,-9.2667,46.11,82,100,20.33,IE,1670269381
140,sao filipe,14.8961,-24.4956,72.7,68,33,6.98,CV,1670269382
141,saint-philippe,-21.3585,55.7679,76.59,78,100,11.63,RE,1670269382
142,cap malheureux,-19.9842,57.6142,75.47,76,14,5.01,MU,1670269382
143,portland,45.5234,-122.6762,42.82,82,20,5.99,US,1670269125
144,hermanus,-34.4187,19.2345,58.8,64,100,3.18,ZA,1670269383
145,sioux lookout,50.1001,-91.917,1.47,66,75,11.5,CA,1670269383
146,svetlogorsk,52.6333,29.7333,13.37,88,78,8.66,BY,1670269383
147,beira,-19.8436,34.8389,80.69,94,20,10.36,MZ,1670269384
148,panguipulli,-39.6333,-72.3333,71.64,42,44,8.46,CL,1670269384
149,somerset,40.5668,-74.5496,49.57,43,0,3.44,US,1670269384
150,faya,18.3851,42.4509,57.31,82,3,3.36,SA,1670269385
151,husavik,66.0449,-17.3389,31.37,80,91,9.75,IS,1670269385
152,naze,28.3667,129.4833,58.12,74,99,19.62,JP,1670269386
153,vao,-22.6667,167.4833,77.65,86,100,12.06,NC,1670269386
154,pitimbu,-7.4706,-34.8086,82.99,76,42,13.62,BR,1670269386
155,te anau,-45.4167,167.7167,48.56,98,100,3.18,NZ,1670269386
156,santa rosa,14.3122,121.1114,78.78,92,99,6.82,PH,1670269387
157,talnakh,69.4865,88.3972,25.21,96,100,13.2,RU,1670269387
158,faanui,-16.4833,-151.75,79.5,77,61,17.58,PF,1670269387
159,caravelas,-17.7125,-39.2481,76.21,77,100,8.1,BR,1670269388
160,jalu,29.0331,21.5482,65.37,35,0,8.1,LY,1670269388
161,fare,-16.7,-151.0167,79.34,77,5,19.01,PF,1670269388
162,leningradskiy,69.3833,178.4167,-15.07,91,4,3.74,RU,1670269389
163,harper,4.375,-7.7169,78.44,84,83,4.27,LR,1670269389
164,ingham,42.6,-84.3833,41.18,53,100,4.61,US,1670269389
165,juegang,32.3174,121.1855,43.99,71,5,5.73,CN,1670269390
166,sambava,-14.2667,50.1667,75.97,86,30,11.18,MG,1670269390
167,bodden town,19.2833,-81.25,84.2,68,20,16.11,KY,1670269390
168,abnub,27.2696,31.1511,64.62,53,0,9.04,EG,1670269391
169,domoni,-12.2569,44.5319,78.57,86,10,7.07,KM,1670269391
170,russell,32.3502,-85.1999,69.19,68,40,4.61,US,1670269391
171,port hedland,-20.3167,118.5667,80.65,69,84,12.66,AU,1670269392
172,mogadishu,2.0371,45.3438,80.62,77,20,16.35,SO,1670269392
